hallo verden !	¡ hola mundo !
kven sin tur er det til å dekkje på bordet ?	¿ a quién le toca poner la mesa ?
drikker du kaffe ?	¿ tomás café ?
drikk noko .	bebe algo .
drikk noko .	toma algo .
drikk noko .	beban algo .
bob er venen min .	bob es mi cuate .
kva kan eg gjere ?	¿ qué puedo hacer ?
før hata han meg .	antes me odiaba .
ingen bur her .	nadie vive aquí .
ho veit kor dei er .	ella sabe dónde están .
eg har ikkje lyst å eta .	no quiero comer .
skal vi sjå …	a ver . . .
han ringde på døra .	él tocó el timbre .
han ringde på dørklokka .	él tocó el timbre .
ho såg seg rundt .	ella miró alrededor .
det regnar .	llueve .
fylg meg .	sígueme .
velkomne !	¡ bienvenidos !
hæ ?	¿ qué ?
hald kjeft !	¡ cállate !
haldt kjeft !	¡ cállate !
tei still !	¡ cállate !
vent på meg .	¡ espérame !
lat oss setja i gang !	¡ empecemos !
lat oss begynna !	¡ empecemos !
lat oss starta !	¡ empecemos !
lat oss byrja !	¡ empecemos !
skal vi setja i gang ?	¿ empezamos ?
begynner vi ?	¿ empezamos ?
set vi i gang ?	¿ empezamos ?
byrjar vi ?	¿ empezamos ?
skal vi starta ?	¿ empezamos ?
hjelp meg .	ayúdame .
eg spring .	corro .
eg lauper .	corro .
ro deg ned .	cálmate .
eg kjem .	voy .
ro deg ned !	¡ cálmate !
ho hata flaggermyser .	ella odiaba los murciélagos .
farvel !	¡ adiós !
ha det !	¡ adiós !
ha det , sayoko !	¡ adiós , sayoko !
ha det !	¡ chau !
vi sest .	nos vemos .
eg likar svart farge .	me gusta el color negro .
så varmt det er !	¡ qué calor que hace !
la meg sova litt til .	déjame dormir un poquito más .
eg er ein katt .	soy un gato .
eg er meksikansk .	soy mexicano .
kor er biblioteket ?	¿ dónde está la biblioteca ?
dette er ein song .	esto es una canción .
kor mykje kostar det ?	¿ cuánto cuesta ?
kor mykje kostar han ?	¿ cuánto cuesta ?
kor mykje kostar ho ?	¿ cuánto cuesta ?
ho lærte meg å symja .	ella me enseñó a nadar .
ho er feminist .	ella es feminista .
dei sumde .	ellas nadaban .
eg likar spegelen din .	me gusta tu espejo .
eg snakkar ungarsk .	hablo húngaro .
kor er han ?	¿ dónde está él ?
nei , det er ikkje sant .	no , eso no es verdad .
ho går i parken .	ella va al parque .
er du heime ?	¿ estás en casa ?
veit dei kor gamal eg er ?	¿ saben cuántos años tengo ?
kva farge har fuglane ?	¿ de qué color son los pájaros ?
kva farge har epla ?	¿ de qué color son las manzanas ?
han vart fødd i kina , men bur i angola .	él nació en china pero vive en angola .
me lever på jorda .	nosotros vivimos en la tierra .
desse pærene er veldig gode .	estas peras son muy buenas .
eg veit det .	lo sé .
det er mange raude blomar i hagen .	hay muchas flores rojas en el jardín .
